apps/packages/ui/src/components/Media/AnalysisModal.tsx: exit 0, no whitespace diagnostics
apps/packages/ui/src/components/Media/__tests__/AnalysisModal.model-owner.test.tsx: exit 1, no whitespace diagnostics
apps/packages/ui/src/components/Media/__tests__/AnalysisModal.stage1.cancel.test.tsx: exit 0, no whitespace diagnostics
apps/packages/ui/src/components/Media/__tests__/AnalysisModal.stage3.regression.test.tsx: exit 0, no whitespace diagnostics
apps/packages/ui/src/components/Option/Onboarding/UnifiedSetupWizard.tsx: exit 0, no whitespace diagnostics
apps/packages/ui/src/components/Option/Onboarding/__tests__/UnifiedSetupWizard.extension-authority.test.tsx: exit 1, no whitespace diagnostics
apps/packages/ui/src/components/Option/Onboarding/__tests__/UnifiedSetupWizard.model-handoff.test.tsx: exit 1, no whitespace diagnostics
apps/packages/ui/src/components/Option/Onboarding/__tests__/UnifiedSetupWizard.test.tsx: exit 0, no whitespace diagnostics
apps/packages/ui/src/components/Option/Onboarding/steps/FirstChatStep.tsx: exit 0, no whitespace diagnostics
apps/packages/ui/src/hooks/chat/useSelectedModel.ts: exit 0, no whitespace diagnostics
